product_name,rating,title,body,date
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,iHealth Track Smart Upper Arm Blood Pressure Monitor: Accurate and Easy to Use,"I've been using the iHealth Track Smart Upper Arm Blood Pressure Monitor for a few months now, and I'm incredibly impressed. It's a reliable and accurate device that's easy to use.

The wide-range cuff fits perfectly, and the device is comfortable to wear. The readings are consistent, and I've found them to be accurate compared to readings from my doctor's office.

I love that I can track my blood pressure readings over time using the app. It's a great way to monitor my health and identify any trends.

If you're looking for a reliable and accurate blood pressure monitor, I highly recommend the iHealth Track Smart Upper Arm Blood Pressure Monitor. It's a great investment for your health.","Reviewed in the United States on September 11, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Reliable and User-Friendly—Perfect for Daily Monitoring,"The iHealth Track Smart Upper Arm Blood Pressure Monitor has proven to be an excellent addition to my health management tools. Its setup process was uncomplicated, and the wide-range cuff is comfortable and not overly tight. The device delivers swift and precise readings, while the large display is clear and easily readable, even for those with vision impairments.

What I find particularly beneficial are the smart capabilities—the app integration is flawless, facilitating effortless tracking and reviewing of my blood pressure trends. Having a dependable device at home that yields consistent readings is comforting, and its portability is a bonus for travel. This monitor is an outstanding option for anyone monitoring their blood pressure, offering reliability, ease of use, and a suite of useful features.","Reviewed in the United States on August 26, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",4.0,"Serves its purpose, easy to read","This product provides readings for blood pressure as advertised. The large screen makes it easy to read, and the screen changes colors based in how high the blood pressure it. For example, it's green when it's in normal range, yellow with it's a little above normal range, and red when it's dangerously high. There is an option to connect it to your phone, but the app requires a purchase, which is a little frustrating, but other than that, it does what I need it to do.","Reviewed in the United States on September 5, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Works great,"Inexpensive, accurate, and easy to use. I need the larger cuff on this unit.","Reviewed in the United States on September 16, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Easy to Use,"I'm very pleased with this purchase. To begin, I figured it would be more expensive to buy a blood pressure cuff alone. This is relatively inexpensive and worth every penny. I have absolutely no experience taking blood pressure and was surprised at how easy it is with this. The direction are clear and concise. The cuff is marked so you know what to line up with your middle finger (be sure to read the directions as my description is very abbreviated). The digital readout is larger making it easy to see and has additional color coding (the entire screen goes green, orange or red) that goes along with your blood pressure depending on how good or bad it is. It takes four AAA batteries. And it connects to your phone. I haven't used used this feature yet. Definitely a good purchase if you're trying to keep tabs on your blood pressure but have no experience doing it the old fashion way.","Reviewed in the United States on September 10, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,VERY USEFUL IN-HOME DEVICE,"Easy to set-up and use. The ability to save and share readings via the available app is very useful. The price was very reasonable, and shipping was fast. Overall, a very good product.","Reviewed in the United States on September 9, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Incorrect readings- NO LONGER,"love fact that monitor has blue tooth and able to track and sync with the IHealth app---however after a 2 week of extreme high readings 190+ constantly, both arms, it was running almost 30+ points higher than taken with doctors cuff by both the nurse and dr. This model constantly put me in high hypertension zone... DR recommend the OMRON brand as that is his home use cuff.
Sadly I would send back if not used so often.
I am adjusting, or correcting my review. IHealth reached out to me and provide a larger cuff which they responded that could be the issue with my readings. Their customer service super informative and provided constructive feedback they sent me a new cuff and monitor and i have not taken 3 readings since getting the new cuff and readings are now within what I would expect. Thank you.","Reviewed in the United States on August 28, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",4.0,Works well,It takes a little bit of time for it to get the reading but the results are accurate. It’s very easy to use and convenient. It’s compact so it’s easy to take with you.,"Reviewed in the United States on September 17, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",1.0,No conecta con la app,El producto conecta muy rara vez con la aplicación y no guarda las mediciones como dice el producto,"Reviewed in Mexico on June 4, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,iHealth Track Wireless Upper Arm BP Monitor Cuff Bluetooth Compatible for Apple & Android Devices,Great item does everything easy and great to have and track of all the record of my Bp reading. Thank you seller!,"Reviewed in the United Kingdom on August 27, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Muy util,"Materiales buenos, gran precisión, muy útil y versátil . Muy fácil de utilizar.","Reviewed in Spain on July 19, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Empfehlenswert,Bin sehr zufrieden damit. Funktioniert tadellos.,"Reviewed in Germany on May 14, 2024"
"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",5.0,Connecté !,L'appareil fonctionne bien. Compact et simple à utiliser. La connection au smartphone est simple et rapide ainsi que la récupération des données. Satisfait !,"Reviewed in France on March 24, 2024"
